apnid,APPEAL_NOTIFIED_DATE,APPEAL_DEC_DATE,APPEAL_DECISION,APPEAL_TYPE
-----,--------------------,---------------,---------------,-----------
2202/03,07-08-2003,28-11-2003,REFUSE PERMISSION,Written Evidence
3115/10,14-09-2010,26-01-2011,GRANT PERMISSION,Written Evidence
1903/05,03-06-2005,22-09-2005,REFUSE PERMISSION,Written Evidence
1355/02,15-07-2003,14-11-2003,REFUSE PERMISSION,Written Evidence
3564/02,25-08-2003,18-12-2003,REFUSE PERMISSION,Written Evidence
4125/02,18-06-2003,15-10-2003,REFUSE PERMISSION,Written Evidence
4210/02,10-04-2003,12-08-2003,GRANT PERMISSION,Written Evidence
4413/02,25-03-2003,08-09-2003,REFUSE PERMISSION,Written Evidence
0003/03,09-09-2003,18-03-2004,GRANT PERMISSION,Written Evidence
0010/03,17-04-2003,14-08-2003,REFUSE PERMISSION,Written Evidence
0017/03,18-03-2003,09-07-2003,REFUSE PERMISSION,Written Evidence
0005/03,18-03-2003,29-08-2003,GRANT PERMISSION,Written Evidence
0037/03,25-03-2003,13-08-2003,GRANT PERMISSION,Written Evidence
0015/03,08-05-2003,29-08-2003,GRANT PERMISSION,Written Evidence
0016/03,18-06-2003,20-10-2003,REFUSE PERMISSION,Written Evidence
0107/03,10-09-2003,26-11-2003,APPEAL WITHDRAWN,Written Evidence
0115/03,31-03-2003,18-09-2003,GRANT PERMISSION,Written Evidence
0131/03,08-07-2003,29-10-2003,GRANT PERMISSION,Written Evidence
0135/03,21-03-2003,22-07-2003,GRANT PERMISSION,Written Evidence
0149/03,02-04-2003,31-07-2003,REFUSE PERMISSION,Written Evidence
0142/03,03-06-2003,02-10-2003,GRANT PERMISSION,Written Evidence
0162/03,07-04-2003,24-07-2003,REFUSE PERMISSION,Written Evidence
0156/03,07-04-2003,31-07-2003,REFUSE PERMISSION,Written Evidence
0180/03,17-07-2003,03-11-2003,GRANT PERMISSION,Written Evidence
0179/03,26-05-2003,20-11-2003,REFUSE PERMISSION,Written Evidence
0185/03,07-04-2003,29-07-2003,REFUSE PERMISSION,Written Evidence
0196/03,15-04-2003,12-08-2003,REFUSE PERMISSION,Written Evidence
0211/03,10-04-2003,08-08-2003,REFUSE PERMISSION,Written Evidence
0230/03,12-05-2003,08-09-2003,GRANT PERMISSION,Written Evidence
0235/03,09-04-2003,05-08-2003,APPEAL DISMISSED,Written Evidence
0213/03,09-04-2003,12-08-2003,REFUSE PERMISSION,Written Evidence
0264/03,28-03-2003,11-04-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
0260/03,28-03-2003,11-04-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
0248/03,11-11-2003,18-03-2004,REFUSE PERMISSION,Written Evidence
0245/03,07-04-2003,09-06-2003,APPEAL WITHDRAWN,Written Evidence
0250/03,16-06-2003,15-10-2003,GRANT PERMISSION,Written Evidence
0270/03,02-04-2003,31-07-2003,REFUSE PERMISSION,Written Evidence
0272/03,15-04-2003,08-10-2003,GRANT PERMISSION,Written Evidence
0271/03,10-04-2003,09-06-2003,APPEAL WITHDRAWN,Written Evidence
0304/03,14-05-2003,15-09-2003,GRANT PERMISSION,Written Evidence
0332/03,24-04-2003,06-08-2003,REMOVE CONDITIONS,Written Evidence
0333/03,25-04-2003,25-08-2003,REFUSE PERMISSION,Written Evidence
0381/03,17-04-2003,18-08-2003,GRANT PERMISSION,Written Evidence
0386/03,25-04-2003,26-08-2003,GRANT PERMISSION,Written Evidence
0505/03,26-06-2003,24-10-2003,REFUSE PERMISSION,Written Evidence
0393/03,03-07-2003,19-09-2003,GRANT PERMISSION,Written Evidence
0523/03,29-04-2003,14-08-2003,GRANT PERMISSION,Written Evidence
0524/03,08-05-2003,03-09-2003,GRANT PERMISSION,Written Evidence
0518/03,29-04-2003,13-08-2003,GRANT PERMISSION,Written Evidence
0539/03,24-04-2003,20-08-2003,GRANT PERMISSION,Written Evidence
0554/03,18-06-2003,30-10-2003,GRANT PERMISSION,Written Evidence
0551/03,30-04-2003,NULL,NULL,Written Evidence
0553/03,25-04-2003,08-05-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
0577/03,30-04-2003,04-06-2003,GRANT PERMISSION,Written Evidence
0563/03,30-04-2003,02-09-2003,REFUSE PERMISSION,Written Evidence
0580/03,04-06-2003,01-10-2003,GRANT PERMISSION,Written Evidence
0581/03,13-05-2003,04-09-2003,GRANT PERMISSION,Written Evidence
0612/03,22-04-2003,19-08-2003,REFUSE PERMISSION,Written Evidence
0598/03,07-05-2003,01-09-2003,APPEAL WITHDRAWN,Written Evidence
0616/03,08-05-2003,08-09-2003,REFUSE PERMISSION,Written Evidence
0629/03,29-10-2003,27-02-2004,REMOVE CONDITIONS,Written Evidence
0619/03,08-05-2003,03-09-2003,GRANT PERMISSION,Written Evidence
0631/03,06-05-2003,02-09-2003,REFUSE PERMISSION,Written Evidence
0651/03,13-05-2003,09-09-2003,GRANT PERMISSION,Written Evidence
0672/03,13-11-2003,16-03-2004,GRANT PERMISSION,Written Evidence
0671/03,12-05-2003,08-09-2003,REFUSE PERMISSION,Written Evidence
0688/03,12-05-2003,29-08-2003,GRANT PERMISSION,Written Evidence
0717/03,14-05-2003,15-09-2003,GRANT PERMISSION,Written Evidence
0720/03,18-05-2003,12-09-2003,GRANT PERMISSION,Written Evidence
0716/03,07-05-2003,18-09-2003,GRANT PERMISSION,Written Evidence
0740/03,18-07-2003,18-11-2003,GRANT PERMISSION,Written Evidence
0727/03,08-05-2003,29-08-2003,REFUSE PERMISSION,Written Evidence
0765/03,13-05-2003,29-08-2003,GRANT PERMISSION,Written Evidence
0758/03,13-05-2003,12-09-2003,REFUSE PERMISSION,Written Evidence
0754/03,13-05-2003,04-09-2003,ATTACH CONDITIONS,Written Evidence
0778/03,14-05-2003,15-07-2003,APPLICATION WITHDRAWN,Written Evidence
0780/03,29-10-2003,03-03-2004,APPEAL WITHDRAWN,Written Evidence
0785/03,02-07-2003,24-10-2003,REFUSE PERMISSION,Written Evidence
0786/03,28-05-2003,19-09-2003,REFUSE PERMISSION,Written Evidence
0802/03,14-05-2003,11-09-2003,GRANT PERMISSION,Written Evidence
0823/03,09-06-2003,03-10-2003,REFUSE PERMISSION,Written Evidence
0835/03,07-08-2003,03-12-2003,GRANT PERMISSION,Written Evidence
0855/03,28-05-2003,19-09-2003,REFUSE PERMISSION,Written Evidence
0864/03,NULL,NULL,APPEAL DECLARED INVALID,Written Evidence
0917/03,26-05-2003,18-09-2003,REMOVE CONDITIONS,Written Evidence
0920/03,03-06-2003,17-09-2003,GRANT PERMISSION,Written Evidence
0907/03,23-05-2003,23-09-2003,GRANT PERMISSION,Written Evidence
0933/03,26-05-2003,09-09-2003,REFUSE PERMISSION,Written Evidence
0973/03,29-05-2003,19-09-2003,REFUSE PERMISSION,Written Evidence
0958/03,03-06-2003,22-09-2003,GRANT PERMISSION,Written Evidence
0987/03,29-05-2003,26-09-2003,GRANT PERMISSION,Written Evidence
1009/03,29-05-2003,25-09-2003,GRANT PERMISSION,Written Evidence
1014/03,NULL,09-06-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
1010/03,29-05-2003,22-09-2003,GRANT PERMISSION,Written Evidence
1034/03,21-11-2003,30-03-2004,REFUSE PERMISSION,Written Evidence
1024/03,NULL,NULL,NULL,NULL
1204/03,11-06-2003,08-07-2003,APPEAL WITHDRAWN,Written Evidence
1203/03,03-06-2003,29-08-2003,GRANT PERMISSION,Written Evidence
1187/03,11-06-2003,16-06-2003,APPEAL WITHDRAWN,Written Evidence
1183/03,11-06-2003,13-10-2003,GRANT PERMISSION,Written Evidence
1209/03,12-06-2003,22-08-2003,APPEAL WITHDRAWN,Written Evidence
1226/03,10-09-2003,15-01-2004,REFUSE PERMISSION,Written Evidence
1244/03,12-06-2003,NULL,REFUSE PERMISSION,Written Evidence
1257/03,30-06-2003,13-10-2003,REFUSE PERMISSION,Written Evidence
1270/03,17-06-2003,13-10-2003,GRANT PERMISSION,Written Evidence
1281/03,26-06-2003,25-09-2003,APPEAL WITHDRAWN,Written Evidence
1294/03,21-07-2003,20-11-2003,REFUSE PERMISSION,Written Evidence
1324/03,12-06-2003,14-10-2003,AMEND CONDITIONS,Written Evidence
1334/03,NULL,NULL,NULL,NULL
1349/03,03-11-2003,10-03-2004,GRANT PERMISSION,Written Evidence
1362/03,06-05-2004,31-08-2004,REFUSE PERMISSION,Written Evidence
1389/03,11-06-2003,13-10-2003,GRANT PERMISSION,Written Evidence
1385/03,16-07-2003,21-10-2003,APPEAL WITHDRAWN,Written Evidence
1412/03,20-06-2003,10-10-2003,GRANT PERMISSION,Written Evidence
1408/03,22-07-2003,21-11-2003,GRANT PERMISSION,Written Evidence
1410/03,19-06-2003,24-10-2003,GRANT PERMISSION,Written Evidence
1413/03,28-08-2003,26-01-2004,REFUSE PERMISSION,Written Evidence
1419/03,24-06-2003,28-07-2003,APPEAL WITHDRAWN,Written Evidence
1415/03,24-06-2003,24-10-2003,REFUSE PERMISSION,Written Evidence
1428/03,14-08-2003,10-12-2003,ATTACH CONDITIONS,Written Evidence
1450/03,22-08-2003,05-12-2003,SPLIT DECISION,Written Evidence
1464/03,NULL,04-07-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
1484/03,20-06-2003,07-10-2003,SPLIT DECISION,Written Evidence
1503/03,NULL,28-10-2003,APPEAL WITHDRAWN,Written Evidence
1506/03,03-06-2003,26-09-2003,GRANT PERMISSION,Written Evidence
1545/03,18-06-2003,10-10-2003,REFUSE PERMISSION,Written Evidence
1573/03,02-07-2003,28-10-2003,REFUSE PERMISSION,Written Evidence
1533/03,02-07-2003,29-10-2003,REFUSE PERMISSION,Written Evidence
1575/03,03-07-2003,23-10-2003,ATTACH CONDITIONS,Written Evidence
1748/03,03-07-2003,18-12-2003,GRANT PERMISSION,Written Evidence
1737/03,08-07-2003,15-10-2003,ATTACH CONDITIONS,Written Evidence
1730/03,22-12-2003,15-01-2004,APPEAL WITHDRAWN,Written Evidence
1744/03,09-07-2003,10-10-2003,GRANT PERMISSION,Written Evidence
1731/03,02-09-2003,17-11-2003,APPEAL WITHDRAWN,Written Evidence
1762/03,08-07-2003,31-10-2003,GRANT PERMISSION,Written Evidence
1787/03,03-07-2003,05-11-2003,GRANT PERMISSION,Written Evidence
1825/03,03-07-2003,23-09-2003,GRANT PERMISSION,Written Evidence
1822/03,11-07-2003,03-11-2003,GRANT PERMISSION,Written Evidence
1882/03,17-07-2003,30-10-2003,GRANT PERMISSION,Written Evidence
1889/03,08-07-2003,11-07-2003,APPEAL DECLARED INVALID,Written Evidence
1891/03,23-03-2004,22-10-2004,GRANT PERMISSION,Written Evidence
2001/03,18-09-2003,28-01-2004,GRANT PERMISSION,Written Evidence
2002/03,14-07-2003,01-08-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
2030/03,22-09-2003,23-10-2003,APPEAL WITHDRAWN,Written Evidence
2029/03,15-07-2003,13-11-2003,GRANT PERMISSION,Written Evidence
2044/03,15-07-2003,14-11-2003,REFUSE PERMISSION,Written Evidence
2038/03,20-08-2003,22-12-2003,GRANT PERMISSION,Written Evidence
2092/03,25-09-2003,02-12-2003,GRANT PERMISSION,Written Evidence
2127/03,17-07-2003,18-11-2003,REFUSE PERMISSION,Written Evidence
2105/03,21-05-2003,13-05-2004,GRANT PERMISSION,Written Evidence
2112/03,22-07-2003,21-11-2003,GRANT PERMISSION,Written Evidence
2130/03,21-11-2003,01-04-2004,GRANT PERMISSION,Written Evidence
2175/03,28-07-2003,21-11-2003,GRANT PERMISSION,Written Evidence
2182/03,25-07-2003,14-10-2003,REFUSE OUTLINE PERMISSION,Written Evidence
2195/03,07-08-2003,26-11-2003,GRANT PERMISSION,Written Evidence
2201/03,25-07-2003,17-11-2003,REFUSE PERMISSION,Written Evidence
2183/03,28-07-2003,14-11-2003,GRANT PERMISSION,Written Evidence
2220/03,12-09-2003,06-10-2003,APPEAL WITHDRAWN,Written Evidence
2216/03,01-12-2003,07-04-2004,REMOVE CONDITIONS,Written Evidence
2251/03,20-08-2003,17-12-2003,GRANT PERMISSION,Written Evidence
2281/03,13-01-2004,08-07-2004,GRANT PERMISSION,Written Evidence
2268/03,31-07-2003,13-11-2003,APPEAL WITHDRAWN,Written Evidence
2283/03,15-09-2003,27-11-2003,GRANT PERMISSION,Written Evidence
2302/03,12-08-2004,10-12-2004,REFUSE PERMISSION,Written Evidence
2342/03,21-05-2004,23-09-2004,GRANT PERMISSION,Written Evidence
2314/03,13-08-2003,27-08-2003,APPEAL WITHDRAWN,Written Evidence
2335/03,10-11-2003,18-03-2004,GRANT PERMISSION,Written Evidence
2317/03,12-08-2003,15-12-2003,REFUSE PERMISSION,Written Evidence
2375/03,13-08-2003,15-12-2003,GRANT PERMISSION,Written Evidence
2355/03,29-07-2003,30-01-2004,REFUSE PERMISSION,Written Evidence
2420/03,10-03-2004,16-07-2004,GRANT PERMISSION,Written Evidence
2345/03,15-08-2003,10-12-2003,GRANT PERMISSION,Written Evidence
2412/03,21-08-2003,07-10-2003,GRANT PERMISSION,Written Evidence
2452/03,26-08-2003,10-12-2003,GRANT PERMISSION,Written Evidence
2403/03,20-08-2003,16-12-2003,GRANT PERMISSION,Written Evidence
2414/03,11-08-2003,30-10-2003,REMOVE CONDITIONS,Written Evidence
2423/03,12-12-2003,20-04-2004,GRANT PERMISSION,Written Evidence
2446/03,24-02-2004,05-05-2004,APPEAL WITHDRAWN,Written Evidence
2425/03,22-08-2003,16-12-2003,REFUSE PERMISSION,Written Evidence
2477/03,21-08-2003,22-12-2003,REFUSE PERMISSION,Written Evidence
2447/03,26-01-2004,25-06-2004,APPEAL WITHDRAWN,Written Evidence
2445/03,26-01-2004,18-05-2004,GRANT PERMISSION,Written Evidence
2451/03,24-03-2004,16-09-2004,GRANT PERMISSION,Written Evidence
2590/03,27-08-2003,18-11-2003,APPLICATION WITHDRAWN,Written Evidence
2574/03,28-07-2003,14-11-2003,GRANT PERMISSION,Written Evidence
2549/03,25-08-2003,24-12-2003,GRANT PERMISSION,Written Evidence
2562/03,02-10-2003,30-01-2004,GRANT PERMISSION,Written Evidence
2617/03,26-01-2004,10-09-2004,GRANT PERMISSION,Public Enquiry
2609/03,27-08-2003,06-01-2004,GRANT PERMISSION,Written Evidence
2618/03,NULL,NULL,NULL,NULL
2622/03,01-08-2003,25-11-2003,REFUSE PERMISSION,Written Evidence
2641/03,22-08-2003,15-12-2003,GRANT PERMISSION,Written Evidence
2649/03,01-12-2003,06-05-2004,REFUSE PERMISSION,Written Evidence
2656/03,24-03-2004,16-09-2004,GRANT PERMISSION,Written Evidence
2658/03,11-09-2003,05-12-2003,REFUSE PERMISSION,Written Evidence
2699/03,08-09-2003,13-02-2004,REFUSE PERMISSION,Written Evidence
2703/03,02-09-2003,08-01-2004,GRANT PERMISSION,Written Evidence
2700/03,25-02-2004,24-08-2004,GRANT PERMISSION,Written Evidence
2730/03,26-08-2003,17-12-2003,REMOVE CONDITIONS,Written Evidence
2756/03,08-09-2003,05-12-2003,REFUSE PERMISSION,Written Evidence
2757/03,10-09-2003,19-01-2004,REFUSE PERMISSION,Written Evidence
2768/03,11-11-2003,06-05-2004,GRANT PERMISSION,Written Evidence
2795/03,09-09-2003,20-01-2004,GRANT PERMISSION,Written Evidence
2802/03,20-10-2003,20-11-2003,APPEAL DECLARED INVALID,Written Evidence
2835/03,11-09-2003,20-01-2004,REMOVE CONDITIONS,Written Evidence
2859/03,22-10-2003,04-02-2004,GRANT PERMISSION,Written Evidence
2857/03,11-09-2003,09-10-2003,APPEAL WITHDRAWN,Written Evidence
2874/03,02-10-2003,02-02-2004,GRANT PERMISSION,Written Evidence
2881/03,16-09-2003,10-11-2003,APPEAL WITHDRAWN,Written Evidence
2889/03,03-11-2003,13-05-2004,GRANT PERMISSION,Written Evidence
2886/03,22-12-2003,21-04-2004,GRANT PERMISSION,Written Evidence
2913/03,26-11-2003,25-03-2004,APPEAL WITHDRAWN,Written Evidence
2882/03,12-12-2003,21-05-2004,REFUSE PERMISSION,Written Evidence
2897/03,16-09-2003,26-01-2004,GRANT PERMISSION,Written Evidence
2903/03,12-01-2004,16-06-2004,GRANT PERMISSION,Written Evidence
2935/03,09-12-2003,20-04-2004,GRANT PERMISSION,Written Evidence
2946/03,NULL,NULL,NULL,NULL
2951/03,28-07-2004,30-11-2004,GRANT PERMISSION,Written Evidence
2959/03,28-10-2003,04-11-2003,APPLICATION WITHDRAWN,Written Evidence
2981/03,11-09-2003,21-01-2004,AMEND CONDITIONS,Written Evidence
2998/03,24-09-2003,12-01-2004,REFUSE PERMISSION,Written Evidence
3024/03,16-09-2003,23-02-2004,REFUSE PERMISSION,Written Evidence
3042/03,26-09-2003,05-02-2004,GRANT PERMISSION,Written Evidence
3115/03,NULL,NULL,NULL,NULL
3023/03,05-12-2003,08-04-2004,REFUSE PERMISSION,Written Evidence
3122/03,11-09-2003,16-01-2004,GRANT PERMISSION,Written Evidence
3126/03,13-11-2003,24-03-2004,GRANT PERMISSION,Written Evidence
3159/03,29-09-2003,30-01-2004,REFUSE PERMISSION,Written Evidence
3172/03,22-09-2003,18-02-2004,REFUSE PERMISSION,Written Evidence
3158/03,30-09-2003,04-02-2004,GRANT PERMISSION,Written Evidence
3153/03,11-12-2003,20-04-2004,REFUSE PERMISSION,Written Evidence
3209/03,15-12-2003,22-12-2003,APPEAL WITHDRAWN,Written Evidence
3208/03,30-09-2003,09-02-2004,REFUSE PERMISSION,Written Evidence
3205/03,29-09-2003,02-02-2004,GRANT PERMISSION,Written Evidence
3200/03,25-09-2003,04-02-2004,SPLIT DECISION,Written Evidence
3206/03,30-09-2003,14-01-2004,REFUSE PERMISSION,Written Evidence
3217/03,19-09-2003,19-11-2003,APPEAL WITHDRAWN,Written Evidence
3237/03,28-11-2003,11-05-2004,GRANT PERMISSION,Written Evidence
3241/03,29-09-2003,17-12-2003,AMEND CONDITIONS,Written Evidence
3264/03,29-09-2003,05-02-2004,REFUSE PERMISSION,Written Evidence
3248/03,03-10-2003,09-02-2004,REFUSE PERMISSION,Written Evidence
3291/03,29-10-2003,10-03-2004,REFUSE PERMISSION,Written Evidence
3285/03,08-10-2003,13-02-2004,GRANT PERMISSION,Written Evidence
3296/03,03-10-2003,04-03-2004,GRANT PERMISSION,Written Evidence
3314/03,12-01-2004,14-05-2004,REFUSE PERMISSION,Written Evidence
3309/03,09-01-2004,12-07-2004,GRANT PERMISSION,Written Evidence
3322/03,07-10-2003,13-02-2004,GRANT PERMISSION,Written Evidence
3332/03,03-10-2003,09-02-2004,REFUSE PERMISSION,Written Evidence
3346/03,03-10-2003,27-11-2003,APPLICATION WITHDRAWN,Written Evidence
3352/03,07-10-2003,16-02-2004,REFUSE PERMISSION,Written Evidence
3384/03,22-09-2003,27-01-2004,REFUSE OUTLINE PERMISSION,Written Evidence
3362/03,24-10-2003,25-02-2004,REFUSE PERMISSION,Written Evidence
3363/03,30-09-2003,12-01-2004,REFUSE PERMISSION,Written Evidence
3424/03,NULL,28-01-2004,GRANT PERMISSION,Written Evidence
3403/03,NULL,17-02-2004,REFUSE PERMISSION,Written Evidence
3519/03,08-10-2003,15-04-2004,GRANT PERMISSION,Written Evidence
3522/03,16-10-2003,20-02-2004,GRANT PERMISSION,Written Evidence
3529/03,28-10-2003,05-03-2004,REFUSE PERMISSION,Written Evidence
3565/03,NULL,NULL,NULL,Public Enquiry
3550/03,21-01-2004,24-05-2004,REFUSE PERMISSION,Written Evidence
3561/03,20-10-2003,24-02-2004,GRANT PERMISSION,Written Evidence
3564/03,13-10-2003,08-03-2004,GRANT PERMISSION,Written Evidence
3581/03,17-10-2003,26-02-2004,GRANT PERMISSION,Written Evidence
3587/03,08-10-2003,10-03-2004,ATTACH CONDITIONS,Written Evidence
3588/03,20-10-2003,24-02-2004,APPEAL WITHDRAWN,Written Evidence
3600/03,NULL,19-02-2004,GRANT OUTLINE PERMISSION,Written Evidence
3584/03,20-10-2003,26-02-2004,GRANT PERMISSION,Written Evidence
3582/03,NULL,NULL,NULL,NULL
3625/03,07-10-2003,26-02-2004,REFUSE PERMISSION,Written Evidence
3646/03,17-11-2003,25-03-2004,SPLIT DECISION,Written Evidence
3629/03,22-10-2003,19-11-2003,APPEAL WITHDRAWN,Written Evidence
3637/03,18-02-2004,21-06-2004,GRANT PERMISSION,Written Evidence
3677/03,16-12-2003,19-04-2004,GRANT PERMISSION,Written Evidence
3684/03,30-09-2003,21-11-2003,AMEND CONDITIONS,Written Evidence
3713/03,24-10-2003,28-01-2004,APPEAL WITHDRAWN,Written Evidence
3728/03,21-01-2004,02-06-2004,REFUSE PERMISSION,Written Evidence
3710/03,23-03-2004,06-04-2004,APPEAL DISMISSED,Written Evidence
3785/03,10-03-2004,14-07-2004,GRANT PERMISSION,Written Evidence
3784/03,06-04-2004,30-09-2004,GRANT PERMISSION,Written Evidence
3793/03,29-10-2003,23-02-2004,REFUSE PERMISSION,Written Evidence
3827/03,30-12-2003,04-05-2004,GRANT PERMISSION,Written Evidence
3814/03,28-10-2003,26-02-2004,GRANT PERMISSION,Written Evidence
3820/03,11-03-2004,12-07-2004,AMEND CONDITIONS,Written Evidence
3818/03,03-11-2003,27-02-2004,REFUSE PERMISSION,Written Evidence
3843/03,04-11-2003,08-03-2004,REFUSE PERMISSION,Written Evidence
3864/03,04-11-2003,11-03-2004,GRANT PERMISSION,Written Evidence
3881/03,22-01-2004,20-05-2004,REFUSE PERMISSION,Written Evidence
3908/03,03-11-2003,NULL,NULL,Written Evidence
3917/03,22-10-2003,25-02-2004,GRANT PERMISSION,Written Evidence
3928/03,03-11-2003,08-03-2004,GRANT PERMISSION,Written Evidence
3934/03,10-11-2003,12-03-2004,GRANT PERMISSION,Written Evidence
3942/03,07-11-2003,12-02-2004,GRANT PERMISSION,Written Evidence
3953/03,05-01-2004,06-05-2004,GRANT PERMISSION,Written Evidence
3945/03,NULL,11-11-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
3973/03,07-11-2003,18-03-2004,REFUSE PERMISSION,Written Evidence
4111/03,11-11-2003,27-04-2004,GRANT PERMISSION,Written Evidence
4104/03,13-11-2003,29-04-2004,REFUSE PERMISSION,Written Evidence
4105/03,12-11-2003,16-03-2004,APPEAL WITHDRAWN,Written Evidence
4113/03,12-01-2004,13-05-2004,REFUSE PERMISSION,Written Evidence
4129/03,13-11-2003,23-03-2004,REFUSE PERMISSION,Written Evidence
4132/03,14-11-2003,25-03-2004,GRANT PERMISSION,Written Evidence
4131/03,13-11-2003,23-03-2004,REFUSE PERMISSION,Written Evidence
4138/03,14-11-2003,25-03-2004,REFUSE PERMISSION,Written Evidence
4155/03,14-11-2003,08-03-2004,GRANT PERMISSION,Written Evidence
4169/03,13-11-2003,12-03-2004,GRANT PERMISSION,Written Evidence
4185/03,06-01-2004,28-04-2004,GRANT PERMISSION,Written Evidence
4183/03,12-01-2004,12-05-2004,SPLIT DECISION,Written Evidence
4182/03,10-11-2003,11-03-2004,AMEND CONDITIONS,Written Evidence
4158/03,18-11-2003,29-03-2004,GRANT PERMISSION,Written Evidence
4160/03,27-01-2004,07-07-2004,GRANT PERMISSION,Written Evidence
4193/03,14-11-2003,17-12-2003,APPEAL WITHDRAWN,Written Evidence
4189/03,31-12-2003,04-05-2004,GRANT PERMISSION,Written Evidence
4243/03,NULL,09-12-2003,LEAVE TO APPEAL REFUSED,Informal Hearing
4140/03,13-11-2003,07-04-2004,GRANT PERMISSION,Written Evidence
4242/03,20-11-2003,31-03-2004,GRANT PERMISSION,Written Evidence
4289/03,11-11-2003,11-03-2004,REFUSE PERMISSION,Written Evidence
4293/03,25-11-2003,26-03-2004,REMOVE CONDITIONS,Written Evidence
4315/03,19-05-2004,19-11-2004,GRANT PERMISSION,Written Evidence
4294/03,21-11-2003,26-03-2004,REFUSE PERMISSION,Written Evidence
4312/03,02-06-2004,01-10-2004,GRANT PERMISSION,Written Evidence
4323/03,20-11-2003,19-12-2003,APPEAL DECLARED INVALID,Written Evidence
4324/03,03-12-2003,18-05-2004,REFUSE PERMISSION,Written Evidence
4321/03,01-12-2003,31-03-2004,REFUSE PERMISSION,Written Evidence
4339/03,18-11-2003,26-02-2004,GRANT PERMISSION,Written Evidence
4369/03,29-01-2003,16-02-2004,APPEAL WITHDRAWN,Written Evidence
4362/03,26-04-2004,16-08-2004,ATTACH CONDITIONS,Written Evidence
4391/03,04-12-2003,11-05-2004,GRANT PERMISSION,Written Evidence
4405/03,01-12-2003,02-04-2004,REFUSE PERMISSION,Written Evidence
4444/03,03-12-2003,08-04-2004,SPLIT DECISION,Written Evidence
4438/03,01-12-2003,30-03-2004,GRANT PERMISSION,Written Evidence
4455/03,08-12-2003,11-12-2003,APPEAL DECLARED INVALID,Written Evidence
4454/03,04-12-2003,29-03-2004,GRANT PERMISSION,Written Evidence
4447/03,05-12-2003,22-01-2004,APPLICATION WITHDRAWN,Written Evidence
4465/03,27-11-2003,05-04-2004,REFUSE PERMISSION,Written Evidence
4481/03,10-05-2004,06-09-2004,REFUSE PERMISSION,Written Evidence
4475/03,02-12-2003,26-03-2004,GRANT PERMISSION,Written Evidence
4624/03,02-12-2003,29-03-2004,ATTACH CONDITIONS,Written Evidence
4626/03,08-12-2003,14-04-2004,REFUSE PERMISSION,Written Evidence
4636/03,08-12-2003,25-03-2004,REFUSE PERMISSION,Written Evidence
4635/03,12-12-2003,20-04-2004,REFUSE PERMISSION,Written Evidence
4643/03,11-12-2003,16-04-2004,REFUSE PERMISSION,Written Evidence
4650/03,19-12-2003,19-02-2004,APPEAL WITHDRAWN,Written Evidence
4668/03,15-12-2003,24-04-2004,SPLIT DECISION,Written Evidence
4679/03,18-12-2003,19-02-2004,APPEAL WITHDRAWN,Written Evidence
4694/03,09-03-2004,09-07-2004,GRANT PERMISSION,Written Evidence
4677/03,11-12-2003,19-04-2004,REFUSE PERMISSION,Written Evidence
4681/03,22-12-2003,27-04-2004,SPLIT DECISION,Written Evidence
4695/03,22-12-2003,27-04-2004,SPLIT DECISION,Written Evidence
4700/03,08-04-2004,10-08-2004,GRANT PERMISSION,Written Evidence
4719/03,18-06-2004,08-10-2004,APPEAL WITHDRAWN,Written Evidence
4735/03,20-07-2004,28-01-2005,GRANT PERMISSION,Public Enquiry
4734/03,NULL,19-01-2004,LEAVE TO APPEAL REFUSED,Informal Hearing
4758/03,23-12-2003,28-04-2004,REFUSE PERMISSION,Written Evidence
4763/03,19-12-2003,10-06-2004,GRANT PERMISSION,Written Evidence
4760/03,17-12-2003,27-04-2004,SPLIT DECISION,Written Evidence
4766/03,25-02-2004,08-07-2004,GRANT PERMISSION,Written Evidence
4790/03,10-06-2004,19-07-2004,APPEAL WITHDRAWN,Written Evidence
4778/03,18-12-2003,23-04-2004,SPLIT DECISION,Written Evidence
4783/03,23-12-2003,04-05-2004,GRANT PERMISSION,Written Evidence
4799/03,22-12-2003,19-05-2004,REFUSE PERMISSION,Written Evidence
4797/03,05-12-2003,15-04-2004,SPLIT DECISION,Written Evidence
4794/03,31-12-2003,25-06-2004,REFUSE PERMISSION,Written Evidence
4816/03,23-01-2004,25-05-2004,GRANT PERMISSION,Written Evidence
4822/03,23-12-2003,30-04-2004,REFUSE PERMISSION,Written Evidence
4827/03,23-12-2003,30-04-2004,REFUSE PERMISSION,Written Evidence
4828/03,23-12-2003,21-01-2004,LEAVE TO APPEAL REFUSED,Informal Hearing
4829/03,23-12-2003,21-05-2004,REFUSE PERMISSION,Written Evidence
4831/03,27-04-2004,17-09-2004,GRANT PERMISSION,Written Evidence
4841/03,15-12-2003,22-04-2004,REFUSE PERMISSION,Written Evidence
4839/03,24-12-2003,30-04-2004,GRANT PERMISSION,Written Evidence
